,year,latitude,longitude,high
43844,2020,40.0,46.583333,6527
43845,2020,40.0,47.0,291
43978,1992,39.912831,46.793197,763
43979,1992,39.912831,46.793197,613
44160,1992,23.366545000000002,91.88916800000001,300
44756,1992,44.437222,18.908056,112
44963,1992,44.386944,19.101389,123
44967,1992,44.981389,16.713055999999998,160
45127,1992,44.816944,15.870833,106
45133,1992,44.816944,15.870833,100
45538,1992,44.981389,16.713055999999998,551
45570,1992,44.981389,16.713055999999998,404
45575,1992,44.981389,16.713055999999998,145
45593,1992,44.981389,16.713055999999998,212
45631,1992,43.85,18.383333,150
45833,1992,43.343333,17.808056,300
45995,1992,43.835556,18.318333,470
46107,1992,44.494721999999996,18.701944,138
46170,1992,45.1375,17.989722,300
46180,1992,43.85,18.383333,203
46204,1992,44.0,18.0,110
46365,1992,43.343333,17.808056,170
46549,1992,44.1875,19.339444,150
46550,1992,44.106389,19.296944,100
46697,1993,44.258611,19.039722,300
46701,1993,44.181944,18.940556,150
46760,1993,43.954167,19.133056,134
46767,1993,43.954167,19.133056,109
46789,1993,43.666944,18.976389,252
46792,1993,43.823611,18.448889,200
46850,1993,43.880833,18.353333,101
46907,1993,44.604167,18.980556,103
46920,1993,44.604167,18.980556,103
47045,1994,43.666944,18.976389,197
47050,1994,44.0,18.0,100
47123,1994,43.349167,18.659722,2400
47167,1994,44.734722,18.087778,250
47248,1995,44.586389000000004,18.795833,170
47249,1995,44.586389000000004,18.795833,100
47250,1995,44.289722,17.6675,188
47338,1995,43.85,18.383333,203
47348,1995,43.94,17.755833,100
47354,1995,43.94,17.755833,100
47409,1995,43.666111,18.445833,100
47438,1995,44.143611,17.4,300
48078,1992,44.226667,17.670556,189
48479,1995,44.179444000000004,16.363889,177
48514,1994,44.816944,15.870833,264
48533,1994,44.816944,15.870833,100
48539,1994,45.054722,16.031944,100
48540,1994,44.966944,15.943056,100
48622,1993,43.979721999999995,17.465,200
48662,1993,44.226667,17.670556,201
48665,1993,44.226667,17.670556,250
48676,1993,44.201389,17.906389,613
48686,1993,44.426667,18.037778,120
48723,1993,43.343333,17.808056,236
48861,1994,44.549167,18.096667,103
48910,1993,44.226667,17.670556,218
48954,1992,43.744721999999996,18.018889,100
48978,1992,44.981389,16.713055999999998,108
48979,1992,44.981389,16.713055999999998,140
48980,1992,44.981389,16.713055999999998,142
48991,1992,44.872778000000004,18.808332999999998,3000
49001,1992,44.610278,16.665833,144
49010,1992,44.981389,16.713055999999998,201
49150,1995,44.542778000000006,18.669444,100
49174,1995,44.106389,19.296944,8106
49368,2017,-3.6,-38.9,1566
49369,2017,-5.0,-40.0,923
49424,2018,-5.0,-40.0,1797
49458,2018,-3.7172199999999997,-38.54306,108
49485,2018,-3.7172199999999997,-38.54306,108
49509,2019,-5.0,-40.0,723
49776,2020,-5.0,-40.0,708
49860,2020,-5.0,-40.0,109
49930,2020,-5.0,-40.0,107
50087,2020,-5.0,-40.0,101
50119,2020,-3.1019400000000004,-60.025,106
50616,1991,-3.5,30.0,251
50634,1994,-3.5,30.0,364
50688,1996,-2.8833330000000004,29.25,200
50726,1997,-4.194444,29.5825,100
50730,1997,-3.885556,29.7675,106
50769,1997,-4.1666669999999995,29.752778000000003,198
50782,1998,-3.322,29.3208,104
50837,2000,-3.4148,29.4082,104
50867,2000,-3.3065,29.4168,165
50880,2001,-3.3339,29.3766,367
50913,2001,-3.3065,29.4168,150
50914,2001,-3.3065,29.4168,444
50956,2002,-3.4616260000000003,29.448776000000002,105
51010,2003,-3.3822,29.3644,300
51239,2000,-3.4351,30.1334,218
51242,2000,-3.7791,30.2348,150
51277,2000,-4.114444000000001,29.98,101
51296,2001,-4.1666669999999995,29.752778000000003,116
51300,2001,-4.1666669999999995,29.752778000000003,315
51436,2003,-3.2189,29.4512,127
51453,1993,-2.584722,30.097222,100
51456,1994,-3.3339,29.3766,333
51457,1994,-3.3418,29.3716,334
51458,1994,-3.3278,29.4033,333
51461,1995,-2.852778,30.219444,400
51469,1995,-2.922222,29.973611,253
51470,1995,-3.4114,29.4785,430
51474,1996,-3.368889,29.693333000000003,1258
51476,1996,-3.5198,30.051,235
51480,1996,-3.3071,29.3813,210
51481,1996,-2.7555560000000003,29.106944,500
51483,1996,-3.364722,29.852221999999998,4050
51484,1996,-3.306389,29.745278000000003,200
51486,1996,-3.85,29.633333,100
51487,1996,-3.3181,29.3654,130
51488,1996,-2.9091669999999996,29.145556,400
51489,1996,-3.85,29.633333,123
51490,1996,-3.0989999999999998,29.726,500
51491,1997,-3.306389,29.745278000000003,400
51492,1997,-2.849444,30.336111,126
51494,1997,-4.0472220000000005,29.525555999999998,100
51501,1998,-3.8577779999999997,29.386944,100
51508,1998,-3.530556,29.429167,178
51532,2000,-3.713889,29.794166999999998,175
51541,2002,-3.6604,30.0119,267
51968,2004,-3.3222,29.2442,166
52072,1994,-2.498056,30.088333000000002,100
52112,1996,-3.5,30.0,234
52122,1996,-3.233333,29.913889,341
52133,1997,-2.9666669999999997,29.193056,135
52135,1997,-4.1722220000000005,29.708333000000003,100
52159,1998,-3.3117,29.2976,284
52299,2000,-3.3065,29.4168,300
52300,1997,-2.836667,29.1975,600
52365,1989,12.848946,102.60928299999999,100
52366,1989,12.848946,102.60928299999999,300
52381,1989,13.0,105.0,914
52386,1989,12.82807,102.90800300000001,118
52399,1990,12.916667,104.633333,100
52468,1994,13.0,105.0,100
52475,1994,14.233332999999998,104.083333,300
52477,1994,14.233332999999998,104.083333,127
52536,1995,13.0,105.0,149
52674,1996,13.75,103.0,108
52758,1991,12.711122,104.888732,250
52879,1997,14.409722,103.69694399999999,115
52889,1998,14.409722,103.69694399999999,100
52890,1998,14.409722,103.69694399999999,100
52916,2014,12.37308,14.227739999999999,117
52920,2014,12.37308,14.227739999999999,100
52923,2014,11.23903,14.12624,115
52934,2014,11.23903,14.12624,117
52957,2000,4.0469,9.7084,448
53204,2015,12.37308,14.227739999999999,400
53374,1991,6.516667,14.3,100
53375,1992,12.076891999999999,15.030626999999999,100
53383,2015,11.1621,14.011510000000001,144
53384,2015,12.37308,14.227739999999999,126
53385,2015,12.37308,14.227739999999999,324
53483,2015,11.106819999999999,14.2056,100
53526,2019,12.877839999999999,14.297285999999998,101
53602,2018,6.0,10.25,170
53648,2018,5.56043,9.923160000000001,147
54116,2001,4.366667,18.583333,162
54117,2001,4.366667,18.583333,100
54152,2013,4.366667,18.583333,141
54200,2002,4.366667,18.583333,150
54305,2013,4.68,21.14,200
54315,2013,6.510464,18.273310000000002,117
54321,2013,4.366667,18.583333,1200
54582,2014,5.192228,14.864932000000001,100
54732,2013,6.492629,17.455184,200
54744,2013,4.8454,18.035735,120
54777,2014,5.670946,16.638041,100
54797,2014,6.510464,18.273310000000002,198
54856,2014,7.0,21.0,102
54935,2017,4.838954,23.117389000000003,115
54997,2013,5.5,16.97,213
55046,2014,5.695,15.955,100
55258,2017,4.680385,22.002106,100
55270,2018,5.026665,21.208762,112
55274,2019,4.60069,20.82058,100
55487,2017,6.542330000000001,21.98633,137
55529,2016,6.542330000000001,21.98633,117
55604,1989,15.105229999999999,22.938822000000002,600
55605,1990,14.533332999999999,20.916667,400
55608,1990,15.016667000000002,22.783333,165
55609,1990,15.55,22.91,165
55610,1990,14.533332999999999,20.916667,517
55611,1990,14.533332999999999,20.916667,103
55614,1990,15.016667000000002,22.783333,600
55617,1990,15.0,19.0,2300
55618,1990,15.016667000000002,22.783333,400
55619,1990,15.016667000000002,22.783333,600
55620,1990,15.116667000000001,22.25,1200
55621,1990,14.533332999999999,20.916667,870
55624,1992,13.458611,14.714722,424
55631,1992,13.328508,14.121739999999999,215
55632,1992,13.328508,14.121739999999999,400
55644,1992,13.328508,14.121739999999999,113
55654,1994,8.75,16.0,199
55662,1999,20.458333,16.527778,126
55665,1999,21.233333,17.333333,100
55666,1999,14.5,22.05,100
55667,1999,20.966667,18.066667000000002,320
55669,1999,14.5,22.05,237
55672,2000,20.966667,18.066667000000002,187
55674,2000,21.683329999999998,18.3,197
55676,2000,21.358333,17.00055,240
55679,2000,22.666667,17.666667,120
55681,2001,21.358333,17.00055,126
55690,2002,18.16667,22.16667,125
55697,2005,13.466667000000001,22.2,356
55698,2006,11.169366,22.95341,197
55703,2006,12.108502,15.048173,400
55704,2006,13.466667000000001,22.2,166
55706,2006,15.214013000000001,21.99195,174
55712,2006,14.516667000000002,22.083333,131
55713,2006,14.533332999999999,20.916667,372
55718,2006,11.738188000000001,22.268225,314
55719,2006,13.816667,20.816667000000002,162
55720,2006,14.533332999999999,20.916667,130
55721,2006,14.533332999999999,20.916667,300
55722,2006,14.533332999999999,20.916667,115
55725,2007,13.466667000000001,22.2,145
55727,2007,13.616667000000001,21.633333,100
55728,2008,12.108502,15.048173,540
55729,2008,12.108502,15.048173,160
55730,2008,15.0,19.0,247
55734,2008,14.216667000000001,21.383333,361
55744,2009,14.533332999999999,20.916667,104
55761,1990,15.0,19.0,300
55762,1990,15.105229999999999,22.938822000000002,100
55774,1992,8.65,16.85,150
55786,1994,13.816667,20.816667000000002,200
55904,2006,12.533333,22.183332999999998,188
55905,2006,12.216667,21.416667,349
55913,2007,12.216667,21.416667,200
55914,2007,12.216667,21.416667,200
55925,2006,11.0297,20.2827,300
55956,2017,13.328508,14.121739999999999,170
55978,2020,13.5,14.5,526
56012,1989,35.0,105.0,408
56013,1989,39.928889,116.388333,2700
56020,2008,29.65,91.1,100
56030,2009,39.454722,75.979722,100
56031,2009,43.800965000000005,87.600459,575
56046,1989,4.0,-72.0,648
56182,1992,4.0,-72.0,113
56183,1992,4.0,-72.0,721
56276,1994,4.0,-72.0,721
56277,1994,4.0,-72.0,249
56324,1995,4.0,-72.0,194
56325,1995,4.0,-72.0,321
56371,1996,4.0,-72.0,410
56546,1998,2.181119,-74.511235,128
56583,1998,4.0,-72.0,111
56595,1998,1.25778,-70.23472,302
